Bill No.,Bill Year,Short Title of Bill,Bill Category,Ministry,Act No.,Date of Introduction,Date of Passing in Rajya Sabha,Date of Passing in Lok Sabha,Date of Assented,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL for Bill Errata
LIII,1999,"The Lotteries (Prohibition) Bill, 1999",Ordinary Bill,HOME AFFAIRS,NA,23/12/1999,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LIII_1999.pdf,NA,NA
LII,1999,"The Explosive Substances (Amendment) Bill, 2001",Ordinary Bill,HOME AFFAIRS,54 of 2001,23/12/1999,20/11/2001,12/4/2001,12/11/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LII_1999.pdf,NA,NA
LI,1999,"The Mizoram University Bill, 2000",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,8 of 2000,21/12/1999,23/12/1999,16/3/2000,25/4/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LI_1999.pdf,NA,NA
L,1999,"The Code of Civil Procedure (Amendment) Bill, 1999",Ordinary Bill,NA,46 of 1999,14/8/1997,29/11/1999,20/12/1999,30/12/1999,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/L_1999.pdf,NA,NA
XXXI,1998,"The Major Port Trusts (Amendment) Bill, 2000",Ordinary Bill,NA,22 of 2000,12/2/1998,5/10/2000,17/5/2000,6/9/2000,Assented,NA,NA,NA
XVI,1998,"The Merchant Shipping (Second Amendment) Bill, 1998",Ordinary Bill,NA,9 of 1998,4/8/1998,21/12/1998,NA,22/6/1998,Assented,NA,NA,NA
XV,1998,"The Foreigners (Amendment) Bill,1998.",Ordinary Bill,HOME AFFAIRS,16 of 2004,28/7/1998,5/7/2003,30/1/2004,20/2/2004,Assented,NA,NA,NA
XLVI,1998,"The Immigration (Carriers Liability) Bill, 2000",Ordinary Bill,HOME AFFAIRS,53 of 2000,23/12/1998,24/11/2000,30/11/2000,12/11/2000,Assented,NA,NA,NA
XLV,1998,"The Forward Contract (Regulation) Amendment Bill, 1998",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",NA,23/12/1998,15/12/2003,NA,NA,Pending,NA,NA,NA
XLIV,1998,"The Patent (Amendment) Bill, 1999",Ordinary Bill,NA,17 of 1999,16/12/1998,22/12/1998,3/10/1999,26/3/1999,Assented,NA,NA,NA
XL,1998,"The North-Eastern Council (Amendment) Bill, 1998",Ordinary Bill,DISINVESTMENT,68 of 2002,8/12/1998,29/11/2002,12/11/2002,20/12/2002,Assented,NA,NA,NA
XIV,1998,"The Narcotic Drugs and Psychotropic Substances (Amemdment) Bill, 2001",Ordinary Bill,NA,9 of 2001,7/9/1998,27/11/2000,3/7/2001,5/9/2001,Assented,NA,NA,NA
VII,1998,"The Representation of the People (Amendment) Bill, 1998",Ordinance Replacing Bill,NA,12 of 1998,1/6/1998,2/6/1998,10/6/1998,22/6/1998,Assented,NA,NA,NA
VI,1998,"The Merchant Shipping (Amendment) Bill, 1998",Ordinance Replacing Bill,NA,9 of 1998,6/1/1998,6/3/1998,6/10/1998,22/6/1998,Assented,NA,NA,NA
IX,1998,"The Administrators General (Amendment) Bill, 1998",Ordinary Bill,NA,NA,9/6/1998,21/12/1998,NA,NA,Lapsed,NA,NA,NA
XXXVIII,1997,"The Payment of Gratuity (Amendment) Bill, 1998",Ordinance Replacing Bill,LABOUR,11 of 1998,24/7/1997,6/2/1998,6/10/1998,22/6/1998,Assented,NA,NA,NA
XXXIX,1997,"The Constitution (Eighty-third Amendment) Bill, 1997",Constitutional Amendment Bill,HUMAN RESOURCE DEVELOPMENT,NA,28/7/1997,NA,NA,NA,Withdrawn,NA,NA,NA
XVII,1997,"The Acquaculture Authority Bill, 1997",Ordinary Bill,AGRICULTURE,NA,20/3/1997,20/3/1997,NA,NA,Lapsed,NA,NA,NA
XVI,1997,"The National Commission for Safai Karamcharis (Amendment) Bill, 1997",Ordinary Bill,NA,18 of 1997,15/3/1997,18/3/1997,21/3/1997,25/3/1997,Assented,NA,NA,NA
XV,1997,"The Port Laws (Amendment) Bill, 1997",Ordinance Replacing Bill,NA,15 of 1997,15/3/1997,18/3/1997,21/3/1997,25/3/1997,Assented,NA,NA,NA
XLVIII,1997,"The Indian Majority (Amendment) Bill, 1997",Ordinary Bill,NA,NA,13/8/1997,21/12/1998,NA,NA,Lapsed,NA,NA,NA
XLVII,1997,"The Marriage Laws (Amendment) Bill, 1997",Ordinary Bill,NA,NA,13/8/1997,21/12/1998,NA,NA,Lapsed,NA,NA,NA
XLVI,1997,"The Employees` Providend Fund and Miscellaneous Provisions (Amendment) Bill, 1998",Ordinance Replacing Bill,LABOUR,10 of 1998,8/7/1997,6/1/1998,6/10/1998,22/6/1998,Assented,NA,NA,NA
XLV,1997,"The Chemical Weapons Convention Bill, 1997",Ordinary Bill,CHEMICALS AND FERTILIZERS,NA,6/8/1997,2/6/1998,NA,NA,Lapsed,NA,NA,NA
XLIX,1997,"The Companies Bill, 1997",Ordinary Bill,NA,NA,14/8/1997,NA,NA,NA,Withdrawn,NA,NA,NA
XLIII,1997,"The Delhi Rent (Amendment) Bill, 1997",Ordinary Bill,NA,NA,28/7/1997,NA,NA,NA,Pending,NA,NA,NA
XLII,1997,"The Presidential and Vice-Presidential Elections (Amendment) Bill, 1997",Ordinance Replacing Bill,NA,35 of 1997,8/4/1997,NA,NA,29/8/1997,Assented,NA,NA,NA
XLI,1997,"The Indira Gandhi National Open University (Amendment) Bill, 1997",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,32 of 1997,29/7/1997,11/8/1997,13/8/1997,29/8/1997,Assented,NA,NA,NA
XIV,1997,"The Navy (Amendment) Bill, 2005",Ordinary Bill,DEFENCE,23 of 2005,12/3/1997,28/4/2005,4/5/2005,23/6/2005,Assented,NA,NA,NA
X,1997,"The Lalit Kala Akadami (Taking Over of Management) Bill, 1997",Ordinance Replacing Bill,HUMAN RESOURCE DEVELOPMENT,17 of 1997,24/2/1997,3/10/1997,18/3/1997,25/3/1997,Assented,NA,NA,NA
LI,1997,"The Delhi Development Authority (Validation of Disciplinary Powers) Bill, 1998",Ordinary Bill,NA,6 of 1999,14/8/1998,12/3/1998,22/12/1998,1/8/1999,Assented,NA,NA,NA
IX,1997,"The National Highways Laws (Amendment) Bill, 1997",Ordinance Replacing Bill,NA,16 of 1997,3/5/1997,3/11/1997,18/3/1997,25/3/1997,Assented,NA,NA,NA
XXXIV,1996,"The Companies (Amendment) Bill, 1996",Ordinary Bill,NA,5 of 1997,9/10/1996,16/12/1996,19/12/1996,1/8/1997,Assented,NA,NA,NA
XVI,1996,"The Industrial Disputes (Amendment) Bill, 1996",Ordinance Replacing Bill,LABOUR,24 of 1996,15/7/1996,22/7/1996,1/8/1996,16/8/1996,Assented,NA,NA,NA
XLIV,1996,"The Coast Guard (Amendment) Bill, 1996",Ordinary Bill,DEFENCE,NA,NA,NA,NA,NA,Withdrawn,NA,NA,NA
LVI,1996,"The Provisions of the Panchayats (Extension to the Scheduled Areas) Bill, 1996",Ordinary Bill,NA,40 of 1996,12/11/1996,12/12/1996,19/12/1996,24/12/1996,Assented,NA,NA,NA
XXXIV,1995,"The University Grants Commission (Amendment) Bill, 1995",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,2/6/1995,NA,NA,NA,Withdrawn,NA,NA,NA
XXXIII,1995,"The Criminal Law (Amendment) Bill, 1995",Ordinary Bill,HOME AFFAIRS,NA,18/5/1995,NA,NA,NA,Withdrawn,NA,NA,NA
XXXI,1995,"The Working Journalists and Other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions (Amendment) Bill, 1996",Ordinary Bill,LABOUR,34 of 1996,16/5/1995,8/1/1996,9/12/1996,28/9/1996,Assented,NA,NA,NA
XXX,1995,"The Arbitration and Concelliation Bill, 1996",Ordinance Replacing Bill,NA,26 of 1996,16/5/1996,22/7/1996,8/2/1996,16/8/1996,Assented,NA,NA,NA
XXIII,1995,"The Maternity Benefit (Amendment) Bill, 1995",Ordinary Bill,LABOUR,29 of 1995,2/5/1995,6/1/1995,8/7/1995,17/8/1995,Assented,NA,NA,NA
XLIX,1995,"The Payment of Bonus (Amendment) Bill, 1995",Ordinary Bill,LABOUR,34 of 1995,31/7/1995,8/8/1995,25/8/1995,30/8/1995,Assented,NA,NA,NA
XIX,1995,"The Pondicherry Administration (Amendment) Bill, 1995",Ordinary Bill,HOME AFFAIRS,NA,25/4/1995,NA,NA,NA,Withdrawn,NA,NA,NA
LXXIII,1995,"The Wakf Bill, 1995",Ordinary Bill,NA,43 of 1995,27/8/1995,29/5/1995,25/8/1995,22/11/1995,Assented,NA,NA,NA
LXX,1995,"The Seamen`s Provident Fund (Amendment) Bill, 1997",Ordinary Bill,NA,29 of 1997,23/12/1995,12/3/1996,21/2/1997,28/5/1997,Assented,NA,NA,NA
LXVI,1995,"The Industrial Disputes (Amendment) Bill, 1995",Ordinance Replacing Bill,LABOUR,NA,28/11/1995,12/5/1995,NA,NA,Lapsed,NA,NA,NA
LVIII,1995,"The Apprentices (Amendment) Bill, 1996",Ordinary Bill,LABOUR,4 of 1997,25/8/1995,12/4/1996,20/12/1996,1/8/1997,Assented,NA,NA,NA
LVII,1995,"The National Co-operative Development Corporation (Amendment) Bill, 1995",Ordinary Bill,AGRICULTURE,NA,25/8/1995,NA,NA,NA,Passed,NA,NA,NA
LVI,1995,"The Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya Bill, 1996",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,3 of 1997,24/8/1995,3/12/1996,19/12/1996,8/1/1997,Assented,NA,NA,NA
LV,1995,"The Sixth Schedule to the Constitution (Amendment) Bill, 1995",Ordinary Bill,NA,41 of 1995,2/6/1995,25/8/1995,26/8/1995,8/9/1995,Assented,NA,NA,NA
LIX,1995,"The Private Universities (Establishment and Regulation) Bill, 1995",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,25/8/1995,NA,NA,NA,Pending,NA,NA,NA
LIV,1995,"The Dock Workers (Regulation of Employment) (Inapplicablity to Major Ports) Bill, 1997",Ordinary Bill,SHIPPING,31 of 1997,22/8/1995,13/3/1997,23/7/1997,18/8/1997,Assented,NA,NA,NA
LIII,1995,"The Maulana Azad National Urdu University Bill, 1996",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,2 of 1997,24/8/1995,27/11/1996,17/12/1996,1/8/1997,Assented,NA,NA,NA
III,1995,"The Securities Laws (Amendment) Bill, 1995",Ordinance Replacing Bill,NA,9 of 1995,14/2/1995,21/3/1995,24/3/1995,25/3/1995,Assented,NA,NA,NA
II,1995,"The Banking Companies (Acquisition and Transfer of Undertakings) (Amendment) Bill, 1995",Ordinance Replacing Bill,NA,8 of 1995,14/2/1995,20/3/1995,25/3/1995,25/3/1995,Assented,NA,NA,NA
I,1995,"The Coal India (Regulation of Transfers and Validation) Bill, 2000",Ordinary Bill,NA,45 of 2000,14/2/1995,21/11/2000,29/11/2000,12/8/2000,Assented,NA,NA,NA
XXXVII,1994,"The Institutes of Technology (Amendment) Bill, 1994",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,35 of 1994,5/9/1994,5/11/1994,13/5/1994,22/5/1994,Assented,NA,NA,NA
XXXVI,1994,"The Babasaheb Bhimrao Ambedkar University Bill, 1994",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,58 of 1994,5/9/1994,25/8/1994,26/8/1994,30/9/1994,Assented,NA,NA,NA
XXXV,1994,"The Code of Criminal Procedure (Amendment) Bill, 2005",Ordinary Bill,HOME AFFAIRS,25 of 2005,9/5/1994,4/5/2005,9/5/2005,23/6/2005,Assented,NA,NA,NA
XXXIX,1994,"The Indian Boilers (Amendment) Bill, 2007",Ordinary Bill,COMMERCE AND INDUSTRY,49 of 2007,13/5/1994,27/11/2007,30/11/2007,12/12/2007,Assented,NA,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Indian Boilers.pdf,NA
XXI,1994,"The Punjab Gram Panchayat, Samities and Zilla Parishads (Chandigarh Repeal) Bill, 1994",Ordinary Bill,HOME AFFAIRS,27 of 1994,21/4/1994,22/4/1994,22/4/1994,23/4/1994,Assented,NA,NA,NA
XL,1994,"The Workmen`s Compensation (Amendment) Bill, 1995",Ordinary Bill,LABOUR,30 of 1995,13/6/1994,31/5/1995,8/3/1995,19/8/1995,Assented,NA,NA,NA
XIV,1994,"The Constitution (Seventy-Eighth Amendment) Bill, 1995",Ordinary Bill,RURAL DEVELOPMENT,00 of 1995,19/4/1994,22/8/1995,26/8/1995,30/8/1995,Assented,NA,NA,NA
XI,1994,"The Banking Regulation (Amendment) Bill, 1994",Ordinance Replacing Bill,NA,20 of 1994,23/2/1994,3/7/1994,17/3/1994,22/3/1994,Assented,NA,NA,NA
LXXXVIII,1994,"The Assam University (Amendment) Bill, 1995",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,25 of 1995,20/12/1994,29/5/1995,6/1/1995,6/11/1995,Assented,NA,NA,NA
LXXXVII,1994,"The Private Security Guards and Agencies (Regulation) Bill, 1994",Ordinary Bill,HOME AFFAIRS,NA,14/12/1994,NA,NA,NA,Withdrawn,NA,NA,NA
LXXXVI,1994,"The Cotton Transport Repeal Bill, 1995",Ordinary Bill,TEXTILES,19 of 1995,12/8/1994,13/12/1995,30/3/1995,5/11/1995,Assented,NA,NA,NA
LXVIII,1994,"The Delhi Rent Bill, 1995",Ordinary Bill,NA,33 of 1995,26/8/1994,29/5/1995,6/3/1995,23/8/1995,Assented,NA,NA,NA
LXVII,1994,"The Yoga Undertaking (Taking Over of Management) Bill, 1994.",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,26/8/1994,NA,NA,NA,Withdrawn,NA,NA,NA
LXVI,1994,"The Constitution (Seventy-sixth Amendment) Bill, 1994",Constitutional Amendment Bill,NA,NA,24/8/1994,24/8/1994,25/8/1994,31/8/1994,Passed,NA,NA,NA
LXV,1994,"The Indian Penal Code (Amendment) Bill, 1995",Ordinary Bill,HOME AFFAIRS,24 of 1995,25/8/1994,22/3/1995,24/5/1995,26/5/1995,Assented,NA,NA,NA
LXIV,1994,"The Salaries, Allowances, Leave and Pensions of the Officers and Servants of the Delhi High Court Bill, 2001.",Ordinary Bill,NA,NA,19/8/1994,12/3/2001,NA,NA,NA,NA,NA,NA
LXIII,1994,"The Salaries, Allowances, Leave and Pensions of the officers and Servants of the Supreme Court Bill, 2001.",Ordinary Bill,NA,NA,19/8/1994,12/3/2001,NA,NA,NA,NA,NA,NA
LIII,1994,"The Motor Vehicle (Amendment) Bill, 1994",Ordinary Bill,NA,54 of 1994,8/2/1994,8/11/1994,23/8/1994,9/10/1994,Assented,NA,NA,NA
XXXII,1993,"The Companies Bill, 1993",Ordinary Bill,NA,NA,14/5/1993,NA,NA,NA,Withdrawn,NA,NA,NA
XXXI,1993,"The Terrorist and Disruptive Activities (Prevention) Amendment Bill, 1993",Ordinary Bill,HOME AFFAIRS,43 of 1993,27/4/1993,28/4/1993,14/5/1993,22/5/1993,Assented,NA,NA,NA
XXX,1993,"The Code of Criminal Procedure (Amendment) Bill, 1993",Ordinary Bill,HOME AFFAIRS,40 of 1993,27/4/1993,28/4/1993,5/7/1993,18/5/1993,Assented,NA,NA,NA
XXV,1993,"The Consumer Protection (Amendment) Bill, 1993",Ordinance Replacing Bill,NA,50 of 1993,31/3/1993,8/5/1993,19/8/1993,27/8/1993,Assented,NA,NA,NA
XXIV,1993,"The Employee`s Provident Fund and Miscellaneous Provisions (Amendment) Bill, 1996",Ordinance Replacing Bill,LABOUR,25 of 1996,29/3/1993,31/7/1996,8/2/1996,16/8/1996,Assented,NA,NA,NA
XXI,1993,"The Coir Industry (Amendment) Bill, 1994",Ordinary Bill,NA,41 of 1994,3/11/1993,14/12/1993,13/5/1994,7/8/1994,Assented,NA,NA,NA
XVIII,1993,"The Madhya Pradesh State Legislature (Delegation of Powers) Bill, 1993",Ordinary Bill,HOME AFFAIRS,9 of 1993,3/3/1993,16/3/1993,30/3/1993,31/3/1993,Assented,NA,NA,NA
XVII,1993,"The Uttar Pradesh State Legislature (Delegation of Powers) Bill, 1993",Ordinary Bill,HOME AFFAIRS,8 of 1993,3/3/1993,16/3/1993,16/3/1993,31/3/1993,Assented,NA,NA,NA
XVI,1993,"The Rajasthan State Legislature (Delegation of Powers) Bill, 1993",Ordinary Bill,HOME AFFAIRS,10 of 1993,3/3/1993,16/3/1993,30/3/1993,31/3/1993,Assented,NA,NA,NA
XV,1993,"The Multimodal Transportation of Goods Bill, 1993",Ordinary Bill,NA,28 of 1993,3/4/1993,22/3/1993,23/3/1993,4/2/1993,Assented,NA,NA,NA
XIX,1993,"The Himachal Pradesh State Legislature (Delegation of Powers) Bill, 1993",Ordinary Bill,HOME AFFAIRS,5 of 1993,3/3/1993,16/3/1993,26/3/1993,30/3/1993,Assented,NA,NA,NA
XIV,1993,"The National Commission for Backward Classes Bill, 1993",Ordinance Replacing Bill,NA,27 of 1993,3/1/1993,22/3/1993,26/3/1993,4/2/1993,Assented,NA,NA,NA
LXXXII,1993,"The Anti Hijacking Bill, 1994",Ordinary Bill,CIVIL AVIATION,39 of 1994,23/12/1993,5/5/1994,14/6/1994,29/6/1994,Assented,NA,NA,NA
LXXXI,1993,"The Railways (Amendment) Bill, 1994",Ordinary Bill,RAILWAYS,28 of 1994,20/12/1993,23/2/1994,22/4/1994,26/4/1994,Assented,NA,NA,NA
LXXX,1993,"The Payment of Gratuity (Amendment) Bill, 1994",Ordinary Bill,LABOUR,NA,9/12/1993,23/12/1993,10/5/1994,NA,Passed,NA,NA,NA
LXXVIII,1993,"The Merchant Shipping (Amendment) Bill, 1993",Ordinary Bill,NA,68 of 1993,6/12/1993,9/12/1993,14/12/1993,17/12/1993,Assented,NA,NA,NA
LXXIX,1993,"The Kala-Shetra Foundation Bill, 1993",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,6 of 1994,6/12/1993,13/12/1993,22/12/1993,4/1/1994,Assented,NA,NA,NA
LXXIII,1993,"The Wakf Bill, 1995",Ordinary Bill,NA,43 of 1995,27/8/1993,29/5/1995,25/8/1995,22/11/1995,Assented,NA,NA,NA
LXVIII,1993,"The Cable Television Networks (Regulation) Bill, 1995",Ordinary Bill,INFORMATION AND BROADCASTING,7 of 1995,3/8/1993,13/12/1994,15/3/1995,25/3/1995,Assented,NA,NA,NA
LXIII,1993,"The Parliament (Prevention of Disqualification) Bill, 1993",Ordinance Replacing Bill,NA,54 of 1993,29/7/1993,18/8/1993,21/8/1993,27/8/1993,Assented,NA,NA,NA
LXII,1993,"The Extradition (Amendment) Bill, 1993",Ordinary Bill,EXTERNAL AFFAIRS,66 of 1993,29/7/1993,24/8/1993,28/8/1993,4/9/1993,Assented,NA,NA,NA
LX,1993,"The Prevention of Illicit Traffic in Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 1993",Ordinance Replacing Bill,NA,53 of 1993,27/7/1993,16/8/1993,21/8/1993,27/8/1993,Assented,NA,NA,NA
XXXVI,1992,"The Sick Industrial Companies (Special Provisions) Amendment Bill, 1993",Ordinary Bill,NA,12 of 1994,14/5/1992,20/8/1992,23/12/1993,1/2/1994,Assented,NA,NA,NA
XXXV,1992,"The Plantation Labour (Amendment) Bill, 1992",Ordinary Bill,LABOUR,NA,5/7/1992,30/7/1992,NA,NA,Lapsed,NA,NA,NA
XXVIII,1992,"The Indo Tibetan Border Police Force Bill, 1992",Ordinary Bill,HOME AFFAIRS,35 of 1992,3/6/1992,21/7/1992,18/8/1992,9/1/1992,Assented,NA,NA,NA
XXIX,1992,"The Public Premises (Eviction of Unauthorised Occupants) (Amendment) Bill, 1993",Ordinary Bill,NA,7 of 1994,27/3/1992,16/7/1992,16/7/1992,7/1/1994,Assented,NA,NA,NA
XX,1992,"The Rehabilitation Council of India Bill, 1992",Ordinary Bill,NA,34 of 1992,6/3/1992,16/7/1992,20/8/1992,1/9/1992,Assented,NA,NA,NA
XLIV,1992,"The Coal Mines (Nationalisation) Amendment Bill, 1993",Ordinary Bill,NA,47 of 1993,15/7/1992,21/7/1992,19/4/1993,6/9/1993,Assented,NA,NA,NA
LXXX,1992,"The Consitution (Seventy-ninth Amendment) Bill, 1992",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,22/12/1992,NA,NA,NA,Pending,NA,NA,NA
LXXVIII,1992,"The Criminal Law (Amendment) Bill, 1993",Ordinary Bill,HOME AFFAIRS,42 of 1993,12/3/1992,28/4/1993,14/5/1993,22/5/1993,Assented,NA,NA,NA
LXXVII,1992,"The Press Council (Amendment) Bill, 1994",Ordinary Bill,INFORMATION AND BROADCASTING,36 of 1994,12/1/1992,21/11/1993,5/12/1994,6/3/1994,Assented,NA,NA,NA
LXXV,1992,"The Central Laws (Extension to Arunachal Pradesh) Bill, 1993",Ordinary Bill,HOME AFFAIRS,44 of 1993,1/2/1992,28/4/1993,13/5/1993,27/5/1993,Assented,NA,NA,NA
LXXIX,1992,"The Advocates (Second Amendment) Bill, 1992",Ordinary Bill,NA,NA,21/12/1992,NA,NA,NA,Withdrawn,NA,NA,NA
LXXIV,1992,"The Tezpur University Bill, 1993",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,45 of 1993,12/3/1992,24/4/1993,13/5/1993,27/5/1993,Assented,NA,NA,NA
LXXIII,1992,"The Multimodal Transportation of Goods Bill, 1992",Ordinary Bill,NA,NA,30/11/1992,22/12/1992,NA,NA,Withdrawn,NA,NA,NA
LXXII,1992,"The Atomic Energy (Amendment) Bill,1992.",Ordinary Bill,ATOMIC ENERGY,NA,25/11/1992,NA,NA,NA,Withdrawn,NA,NA,NA
LXVIII,1992,"The Indian Medical Council (Amendment) Bill, 1992",Ordinance Replacing Bill,HEALTH AND FAMILY WELFARE,NA,26/11/1992,22/12/1992,NA,NA,Withdrawn,NA,NA,NA
LXIX,1992,"The Dentists (Amendment) Bill, 1992",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,26/11/1992,22/12/1992,NA,NA,Withdrawn,NA,NA,NA
LX,1992,"SAARC Convention (Suppression of Terrorism) Bill, 1993",Ordinary Bill,EXTERNAL AFFAIRS,36 of 1993,20/8/1992,26/11/1992,30/3/1993,26/4/1993,Assented,NA,NA,NA
LVIII,1992,"The Cinematograph (Amendment) Bill,1992",Ordinary Bill,INFORMATION AND BROADCASTING,NA,18/8/1992,NA,NA,NA,Withdrawn,NA,NA,NA
LIX,1992,"The Transplantation of Human Organ Bill, 1992",Ordinary Bill,HEALTH AND FAMILY WELFARE,42 of 1994,20/8/1992,5/5/1993,14/6/1994,8/7/1994,Assented,NA,NA,NA
XXXIII,1991,"The Code of Criminal Procedure (Amendment) Bill, 1991",Ordinary Bill,HOME AFFAIRS,NA,8/2/1991,NA,NA,NA,Withdrawn,NA,NA,NA
XXXII,1991,"The Terrorist and Disruptive Activities (Prevention) Amendment Bill, 1991",Ordinary Bill,HOME AFFAIRS,35 of 1991,8/2/1991,8/6/1991,8/12/1991,16/8/1991,Assented,NA,NA,NA
XXXI,1991,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 1991",Constitutional Amendment Bill,NA,36 of 1991,29/7/1991,8/5/1991,14/8/1991,20/8/1991,Assented,NA,NA,NA
XXX,1991,"The Consumer Protection (Amendment) Bill, 1991",Ordinary Bill,NA,34 of 1991,24/7/1991,8/1/1991,8/12/1991,16/8/1991,Assented,NA,NA,NA
XXIX,1991,"The Representation of the People (Amendment) Bill, 1991",Ordinary Bill,NA,31 of 1991,7/12/1991,16/7/1991,8/9/1991,14/8/1991,Assented,NA,NA,NA
XLIX,1991,"The Code of Criminal Procedure (Second Amendment) Bill, 1991",Ordinary Bill,HOME AFFAIRS,43 of 1991,9/3/1991,9/4/1991,17/9/1991,19/9/1991,Assented,NA,NA,NA
XIV,1991,"The Delhi High Court (Amendment) Bill, 1991",Ordinary Bill,NA,60 of 1991,3/5/1991,12/3/1991,20/12/1991,28/12/1991,Assented,NA,NA,NA
LXXXV,1991,"The University Grants Commission (Amendment) Bill, 1991",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,16/12/1991,NA,NA,NA,Withdrawn,NA,NA,NA
LXVI,1991,"The Legal Services Authorities (Amendment) Bill, 1994",Ordinary Bill,NA,59 of 1994,25/11/1991,3/3/1992,8/4/1994,29/10/1994,Assented,NA,NA,NA
III,1991,"The Wild Life (Protection) Amendment Bill, 1991",Ordinary Bill,ENVIRONMENT AND FORESTS,44 of 1991,1/10/1991,28/8/1991,16/9/1991,20/9/1991,Assented,NA,NA,NA
II,1991,"The National Trust for Welfare of Persons with Mental Retardation and Cerebral Palsy Bill, 1991",Ordinary Bill,NA,NA,1/9/1991,NA,NA,NA,Withdrawn,NA,NA,NA
I,1991,"The Board for Welfare and Protection of Rights of Handicapped Bill, 1991",Ordinary Bill,NA,NA,1/9/1991,NA,NA,NA,Withdrawn,NA,NA,NA
XXVIII,1990,"The Participation of Workers in Management Bill,1990.",Ordinary Bill,LABOUR,NA,30/5/1990,NA,NA,NA,Pending,NA,NA,NA
XXVII,1990,"The Constitution (Seventy-first Amendment) Bill, 1990",Ordinary Bill,NA,NA,30/5/1990,29/4/1992,13/6/1994,NA,Withdrawn,NA,NA,NA
XXVI,1990,"The Constitution (Seventieth Amendment) Bill, 1990",Ordinary Bill,NA,NA,30/5/1990,NA,NA,NA,Withdrawn,NA,NA,NA
XXIX,1990,"The Governors (Emoluments, Allowances and Privileges) Amendment Bill, 1990",Ordinary Bill,HOME AFFAIRS,NA,30/5/1990,20/8/1990,NA,NA,Lapsed,NA,NA,NA
XXIV,1990,"The Beedi and Cigar Workers (Condition and Employment) Amendment Bill, 1993",Ordinary Bill,LABOUR,41 of 1993,30/5/1990,27/4/1993,14/5/1993,22/5/1993,Assented,NA,NA,NA
XXIII,1990,"The Indian Succession (Amendment) Bill, 1991",Ordinary Bill,NA,51 of 1991,23/5/1990,20/11/1991,12/5/1991,12/9/1991,Assented,NA,NA,NA
XXII,1990,"The Legal Services Authorities (Amendment) Bill, 1991",Ordinary Bill,NA,NA,14/5/1990,11/1/1991,NA,NA,Lapsed,NA,NA,NA
XXI,1990,"The Legislative Councils Bill, 1990",Ordinary Bill,NA,NA,10/5/1990,28/5/1990,NA,NA,Lapsed,NA,NA,NA
XX,1990,"The Indian Contract (Amendment) Bill, 1990",Ordinary Bill,NA,NA,10/5/1990,NA,NA,NA,Withdrawn,NA,NA,NA
VI,1990,"The Constitution (Sixty-Fourth Amendment) Bill, 1990",Constitutional Amendment Bill,HOME AFFAIRS,NA,27/3/1990,28/3/1990,NA,NA,Lapsed,NA,NA,NA
V,1990,"The Constitution (Scheduled Castes) Orders (Amendment) Bill, 1990",Constitutional Amendment Bill,LABOUR,15 of 1990,12/3/1990,8/5/1990,29/5/1990,3/6/1990,Assented,NA,NA,NA
LVII,1990,"The Reserve Bank of India (Second Amendment) Bill, 1991",Ordinary Bill,NA,9 of 1991,9/6/1990,27/12/1990,1/9/1991,25/1/1991,Assented,NA,NA,NA
LVI,1990,"The Indian Ports (Amendment) Bill, 1992",Ordinary Bill,NA,23 of 1992,9/5/1990,12/3/1991,21/7/1992,10/12/1992,Assented,NA,NA,NA
LII,1990,"The Family Court (Amendment) Bill, 1991",Ordinary Bill,NA,59 of 1991,16/8/1990,26/11/1991,20/12/1991,28/12/1991,Assented,NA,NA,NA
LI,1990,"The Indian Council of World Affairs Bill, 1990",Ordinary Bill,EXTERNAL AFFAIRS,NA,8/10/1990,9/5/1990,NA,NA,Lapsed,NA,NA,NA
